* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     TX01     RH01     WD01     WD02     WD07     WD08     PP01     SS01     TS01     TS02     TS03     TS04     TS06     TS07     GR01     WD09     TG01
C0C630 2025022611   1000.4     16.5       80      1.4     34.0      2.3     37.0      0.0     None     None     None     None     None     None     None     None     5400     None
C0C630 2025022612    998.7     17.6       77      1.3      7.0      3.5      2.0      0.0     None     None     None     None     None     None     None     None     5200     None
C0C630 2025022613    997.8     17.4       82      1.5    353.0      5.3    343.0      0.0     None     None     None     None     None     None     None     None     2700     None
C0C630 2025022614    996.5     18.7       75      0.8    351.0      3.7    356.0      0.0     None     None     None     None     None     None     None     None     2400     None
C0C630 2025022615    996.3     17.4       85      2.4    352.0      5.4    354.0      0.0     None     None     None     None     None     None     None     None     4500     None
C0C630 2025022616    996.4     17.1       86      2.6    353.0      5.0    354.0      0.0     None     None     None     None     None     None     None     None     0000     None
C0C630 2025022617    996.5     16.7       89      1.9    337.0      4.8      4.0      0.0     None     None     None     None     None     None     None     None     0100     None
C0C630 2025022618    996.6     16.5       91      0.6    341.0      2.2    343.0      0.0     None     None     None     None     None     None     None     None     3700     None
C0C630 2025022619    996.4     16.4       92      0.2      0.0      1.3    325.0      0.0     None     None     None     None     None     None     None     None     0100     None
C0C630 2025022620    996.5     16.3       93      0.3    298.0      2.0    312.0      0.0     None     None     None     None     None     None     None     None     4300     None
C0C630 2025022621    996.5     16.2       94      0.8    262.0      1.7    251.0      0.0     None     None     None     None     None     None     None     None     5900     None
C0C630 2025022622    997.3     16.4       94      1.5    240.0      3.1    275.0      0.0     None     None     None     None     None     None     None     None     3800     None
C0C630 2025022623    996.8     16.0       94      1.6    234.0      3.5    239.0      0.0     None     None     None     None     None     None     None     None     4700     None
C0C630 2025022624    996.2     16.4       91      1.0    242.0      4.0    248.0      0.0     None     None     None     None     None     None     None     None     4200     None
C0C630 2025022701    996.0     16.0       93      0.9    228.0      3.0    182.0      0.0     None     None     None     None     None     None     None     None     0700     None
C0C630 2025022702    995.1     15.9       94      1.1    225.0      3.9    190.0      0.0     None     None     None     None     None     None     None     None     2400     None
C0C630 2025022703    994.7     15.5       94      2.1    222.0      4.3    239.0      0.0     None     None     None     None     None     None     None     None     4600     None
C0C630 2025022704    994.3     15.4       94      2.8    239.0      5.7    239.0      0.0     None     None     None     None     None     None     None     None     4200     None
C0C630 2025022705    994.3     15.3       95      1.4    242.0      5.0    242.0      0.0     None     None     None     None     None     None     None     None     0100     None
C0C630 2025022706    994.7     15.0       95      1.0    255.0      3.5    247.0      0.0     None     None     None     None     None     None     None     None     3400     None
C0C630 2025022707     None     None     None     None     None      3.1    273.0      0.0     None     None     None     None     None     None     None     None     1900     None
C0C630 2025022708    996.3     14.6       97      1.5    301.0      3.3    291.0      0.0     None     None     None     None     None     None     None     None     5400     None
C0C630 2025022709    997.2     14.4       97      1.7    342.0      3.3    344.0      0.0     None     None     None     None     None     None     None     None     5600     None
C0C630 2025022710    997.4     14.0       97      1.8    304.0      4.5    311.0      0.0     None     None     None     None     None     None     None     None     1600     None
C0C630 2025022711    997.3     14.1       98      1.4    348.0      4.0    338.0      0.0     None     None     None     None     None     None     None     None     4600     None
C0C630 2025022712    996.9     14.2       97      1.2    295.0      3.6      3.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C630 2025022713    995.9     16.2       88      0.7    292.0      2.3    318.0      0.0     None     None     None     None     None     None     None     None     5600     None
C0C630 2025022714    994.7     19.2       72      1.2    152.0      3.2    102.0      0.0     None     None     None     None     None     None     None     None     1100     None
C0C630 2025022715    994.0     18.7       75      1.6    355.0      3.6    349.0      0.0     None     None     None     None     None     None     None     None     3200     None
C0C630 2025022716    993.7     19.5       72      1.3     60.0      2.7     43.0      0.0     None     None     None     None     None     None     None     None     5200     None
C0C630 2025022717    993.7     19.5       72      0.4     34.0      3.4     85.0      0.0     None     None     None     None     None     None     None     None     0700     None
C0C630 2025022718    993.8     18.8       77      0.7     68.0      2.1    105.0      0.0     None     None     None     None     None     None     None     None     3200     None
C0C630 2025022719    993.8     18.3       80      1.2    119.0      2.1     84.0      0.0     None     None     None     None     None     None     None     None     0500     None
C0C630 2025022720    994.5     17.7       83      0.6      5.0      2.0    354.0      0.0     None     None     None     None     None     None     None     None     3700     None
C0C630 2025022721    995.1     16.3       91      0.8    262.0      2.6    140.0      0.0     None     None     None     None     None     None     None     None     2800     None
C0C630 2025022722    995.5     16.2       90      1.2    189.0      1.9    183.0      0.0     None     None     None     None     None     None     None     None     5000     None
C0C630 2025022723    995.3     16.8       83      1.4    183.0      2.7    176.0      0.0     None     None     None     None     None     None     None     None     4100     None
C0C630 2025022724    994.6     15.8       87      1.0    186.0      2.6    191.0      0.0     None     None     None     None     None     None     None     None     0800     None
C0C630 2025022801    994.1     15.9       85      1.3    173.0      2.1    175.0      0.0     None     None     None     None     None     None     None     None     5300     None
C0C630 2025022802    993.4     15.8       84      1.1    185.0      2.2    177.0      0.0     None     None     None     None     None     None     None     None     1000     None
C0C630 2025022803    993.0     15.5       85      0.7    183.0      2.8    168.0      0.0     None     None     None     None     None     None     None     None     2900     None
C0C630 2025022804    992.8     15.6       83      0.8    197.0      2.3    200.0      0.0     None     None     None     None     None     None     None     None     2800     None
C0C630 2025022805    993.2     16.1       79      1.6    185.0      4.1    181.0      0.0     None     None     None     None     None     None     None     None     1000     None
C0C630 2025022806    993.9     16.1       79      1.4    192.0      3.1    186.0      0.0     None     None     None     None     None     None     None     None     4800     None
